Width,Length,T,VD,VG,VS,VB,ID
10,10,125,0.3,1,0,0,1.307008E-05
10,10,125,0.35,1,0,0,1.332218E-05
10,10,125,0.4,1,0,0,1.346545E-05
10,10,125,0.45,1,0,0,1.357275E-05
10,10,125,0.5,1,0,0,1.366723E-05
10,10,125,0.55,1,0,0,1.375645E-05
10,10,125,0.6,1,0,0,1.384324E-05
10,10,125,0.65,1,0,0,1.392875E-05
10,10,125,0.7,1,0,0,1.401354E-05
10,10,125,0.75,1,0,0,1.409788E-05
10,10,125,0.8,1,0,0,1.418193E-05
10,10,125,0.85,1,0,0,1.426577E-05
10,10,125,0.9,1,0,0,1.434945E-05
10,10,125,0.95,1,0,0,1.443301E-05
10,10,125,1,1,0,0,1.451647E-05
